Nome_Malattia,Anno,Regione,Casi_Totali,Sintomatici,Gravita_Media,Tasso_Mortalita,Percentuale_Su_Totale_Nazionale
Sclerosi Multipla,2022,Lombardia,19778,17405,6.5,0.50,16.09
Sclerosi Multipla,2022,Marche,2608,2295,6.4,0.49,2.12
Sclerosi Multipla,2022,Molise,261,230,6.3,0.45,0.21
Sclerosi Multipla,2022,Piemonte,9019,7937,6.5,0.52,7.34
Sclerosi Multipla,2022,Puglia,7063,6215,6.3,0.46,6.15
Sclerosi Multipla,2022,Sardegna,12497,10997,6.6,0.53,10.17
Sclerosi Multipla,2022,Sicilia,10324,9085,6.3,0.48,8.40
Sclerosi Multipla,2022,Toscana,7715,6789,6.4,0.51,6.28
Sclerosi Multipla,2022,Trentino Alto Adige,1304,1148,6.5,0.53,1.06
Sclerosi Multipla,2022,Umbria,1304,1148,6.4,0.50,1.06
Sclerosi Multipla,2022,Valle D'Aosta,131,115,6.6,0.56,0.11
Sclerosi Multipla,2022,Veneto,10432,9180,6.5,0.51,8.49
Sclerosi Multipla,2023,Abruzzo,2330,2055,6.4,0.43,1.86
Sclerosi Multipla,2023,Basilicata,532,470,6.3,0.40,0.42
Sclerosi Multipla,2023,Calabria,2718,2397,6.4,0.46,2.17
Sclerosi Multipla,2023,Campania,9764,8612,6.3,0.42,8.18
Sclerosi Multipla,2023,Emilia Romagna,9098,8024,6.5,0.50,7.25
Sclerosi Multipla,2023,Friuli Venezia Giulia,1997,1761,6.6,0.53,1.59
Sclerosi Multipla,2023,Lazio,11649,10274,6.5,0.47,9.28
Sclerosi Multipla,2023,Liguria,3218,2838,6.7,0.56,2.56
Sclerosi Multipla,2023,Lombardia,20193,17810,6.6,0.49,16.09
Sclerosi Multipla,2023,Marche,2663,2349,6.5,0.48,2.12
Sclerosi Multipla,2023,Molise,266,235,6.4,0.44,0.21
Sclerosi Multipla,2023,Piemonte,9209,8122,6.6,0.51,7.34
Sclerosi Multipla,2023,Puglia,7212,6361,6.4,0.45,6.15
Sclerosi Multipla,2023,Sardegna,12759,11253,6.7,0.52,10.17
Sclerosi Multipla,2023,Sicilia,10540,9296,6.4,0.47,8.40
Sclerosi Multipla,2023,Toscana,7877,6948,6.5,0.50,6.28
Sclerosi Multipla,2023,Trentino Alto Adige,1332,1175,6.6,0.52,1.06
Sclerosi Multipla,2023,Umbria,1332,1175,6.5,0.49,1.06
Sclerosi Multipla,2023,Valle D'Aosta,133,117,6.7,0.55,0.11
Sclerosi Multipla,2023,Veneto,10651,9394,6.6,0.50,8.49
Sclerosi Multipla,2024,Abruzzo,2379,2103,6.4,0.43,1.86
Sclerosi Multipla,2024,Basilicata,543,481,6.3,0.40,0.42
Sclerosi Multipla,2024,Calabria,2775,2453,6.4,0.46,2.17
Sclerosi Multipla,2024,Campania,9969,8813,6.3,0.42,8.18
Sclerosi Multipla,2024,Emilia Romagna,9289,8212,6.5,0.50,7.25
Sclerosi Multipla,2024,Friuli Venezia Giulia,2039,1802,6.6,0.53,1.59
Sclerosi Multipla,2024,Lazio,11894,10514,6.5,0.47,9.28
Sclerosi Multipla,2024,Liguria,3286,2905,6.7,0.56,2.56
Sclerosi Multipla,2024,Lombardia,20617,18225,6.6,0.49,16.09
Sclerosi Multipla,2024,Marche,2719,2404,6.5,0.48,2.12
Sclerosi Multipla,2024,Molise,272,240,6.4,0.44,0.21
Sclerosi Multipla,2024,Piemonte,9402,8311,6.6,0.51,7.34
Sclerosi Multipla,2024,Puglia,7363,6509,6.4,0.45,6.15
Sclerosi Multipla,2024,Sardegna,13027,11516,6.7,0.52,10.17
Sclerosi Multipla,2024,Sicilia,10762,9513,6.4,0.47,8.40
Sclerosi Multipla,2024,Toscana,8043,7110,6.5,0.50,6.28
Sclerosi Multipla,2024,Trentino Alto Adige,1360,1202,6.6,0.52,1.06
Sclerosi Multipla,2024,Umbria,1360,1202,6.5,0.49,1.06
Sclerosi Multipla,2024,Valle D'Aosta,136,120,6.7,0.55,0.11
Sclerosi Multipla,2024,Veneto,10875,9613,6.6,0.50,8.49
Sclerosi Multipla,2025,Abruzzo,2429,2152,6.4,0.42,1.86
Sclerosi Multipla,2025,Basilicata,555,492,6.3,0.39,0.42
Sclerosi Multipla,2025,Calabria,2833,2509,6.4,0.45,2.17
Sclerosi Multipla,2025,Campania,10178,9018,6.3,0.41,8.18
Sclerosi Multipla,2025,Emilia Romagna,9484,8403,6.5,0.49,7.25
Sclerosi Multipla,2025,Friuli Venezia Giulia,2082,1845,6.6,0.52,1.59
Sclerosi Multipla,2025,Lazio,12144,10747,6.5,0.46,9.28
Sclerosi Multipla,2025,Liguria,3355,2973,6.7,0.55,2.56
Sclerosi Multipla,2025,Lombardia,21050,18629,6.6,0.48,16.09
Sclerosi Multipla,2025,Marche,2776,2459,6.5,0.47,2.12
Sclerosi Multipla,2025,Molise,277,245,6.4,0.43,0.21
Sclerosi Multipla,2025,Piemonte,9600,8506,6.6,0.50,7.34
Sclerosi Multipla,2025,Puglia,7518,6661,6.4,0.44,6.15
Sclerosi Multipla,2025,Sardegna,13301,11783,6.7,0.51,10.17
Sclerosi Multipla,2025,Sicilia,10988,9735,6.4,0.46,8.40
Sclerosi Multipla,2025,Toscana,8212,7276,6.5,0.49,6.28
Sclerosi Multipla,2025,Trentino Alto Adige,1388,1230,6.6,0.51,1.06
Sclerosi Multipla,2025,Umbria,1388,1230,6.5,0.48,1.06
Sclerosi Multipla,2025,Valle D'Aosta,139,123,6.7,0.54,0.11
Sclerosi Multipla,2025,Veneto,11103,9837,6.6,0.49,8.49
Celiachia,2018,Abruzzo,4800,2100,2.5,0.02,2.20
Celiachia,2018,Basilicata,2000,850,2.4,0.01,0.92
Celiachia,2018,Calabria,7000,3100,2.5,0.02,3.21
Celiachia,2018,Campania,20700,9100,2.4,0.02,9.49
Celiachia,2018,Emilia Romagna,16100,7100,2.6,0.03,7.38
Celiachia,2018,Friuli Venezia Giulia,4350,1900,2.5,0.02,1.99
Celiachia,2018,Lazio,21400,9400,2.5,0.03,9.81
Celiachia,2018,Liguria,5650,2500,2.6,0.03,2.59
Celiachia,2018,Lombardia,36000,15800,2.6,0.02,16.51
Celiachia,2018,Marche,5450,2400,2.5,0.02,2.50
Celiachia,2018,Molise,1100,480,2.4,0.01,0.50
Celiachia,2018,Piemonte,15700,6900,2.6,0.03,7.20
Celiachia,2018,Puglia,14600,6400,2.5,0.02,6.70
Celiachia,2018,Sardegna,6100,2700,2.6,0.02,2.80
Celiachia,2018,Sicilia,17650,7750,2.5,0.02,8.09
Celiachia,2018,Toscana,13500,5950,2.5,0.03,6.19
Celiachia,2018,Trentino Alto Adige,3700,1650,2.5,0.02,1.70
Celiachia,2018,Umbria,3250,1450,2.5,0.02,1.49
Celiachia,2018,Valle D'Aosta,450,200,2.6,0.02,0.21
Celiachia,2018,Veneto,18600,8200,2.6,0.03,8.53
Celiachia,2019,Abruzzo,4954,2167,2.5,0.02,2.20
Celiachia,2019,Basilicata,2064,877,2.4,0.02,0.92
Celiachia,2019,Calabria,7224,3199,2.5,0.01,3.21
Celiachia,2019,Campania,21362,9391,2.4,0.02,9.49
Celiachia,2019,Emilia Romagna,16615,7327,2.6,0.02,7.38
Celiachia,2019,Friuli Venezia Giulia,4489,1961,2.5,0.03,1.99
Celiachia,2019,Lazio,22085,9701,2.5,0.02,9.81
Celiachia,2019,Liguria,5831,2580,2.6,0.03,2.59
Celiachia,2019,Lombardia,37152,16306,2.6,0.03,16.51
Celiachia,2019,Marche,5624,2477,2.5,0.02,2.50
Celiachia,2019,Molise,1135,495,2.4,0.02,0.50
Celiachia,2019,Piemonte,16202,7121,2.6,0.01,7.20
Celiachia,2019,Puglia,15067,6605,2.5,0.03,6.70
Celiachia,2019,Sardegna,6295,2786,2.6,0.02,2.80
Celiachia,2019,Sicilia,18215,7998,2.5,0.02,8.09
Celiachia,2019,Toscana,13932,6140,2.5,0.03,6.19
Celiachia,2019,Trentino Alto Adige,3818,1703,2.5,0.02,1.70
Celiachia,2019,Umbria,3354,1496,2.5,0.02,1.49
Celiachia,2019,Valle D'Aosta,464,206,2.6,0.02,0.21
Celiachia,2019,Veneto,19195,8462,2.6,0.03,8.53
Celiachia,2020,Abruzzo,5112,2236,2.5,0.02,2.20
Celiachia,2020,Basilicata,2130,905,2.4,0.01,0.92
Celiachia,2020,Calabria,7455,3302,2.5,0.02,3.21
Celiachia,2020,Campania,22046,9692,2.4,0.02,9.49
Celiachia,2020,Emilia Romagna,17147,7562,2.6,0.03,7.38
Celiachia,2020,Friuli Venezia Giulia,4633,2024,2.5,0.02,1.99
Celiachia,2020,Lazio,22792,10011,2.5,0.03,9.81
Celiachia,2020,Liguria,6017,2663,2.6,0.03,2.59
Celiachia,2020,Lombardia,38341,16827,2.6,0.02,16.51
Celiachia,2020,Marche,5804,2556,2.5,0.02,2.50
Celiachia,2020,Molise,1172,511,2.4,0.01,0.50
Celiachia,2020,Piemonte,16721,7349,2.6,0.03,7.20
Celiachia,2020,Puglia,15549,6816,2.5,0.02,6.70
Celiachia,2020,Sardegna,6497,2875,2.6,0.02,2.80
Celiachia,2020,Sicilia,18798,8254,2.5,0.02,8.09
Celiachia,2020,Toscana,14378,6337,2.5,0.03,6.19
Celiachia,2020,Trentino Alto Adige,3941,1757,2.5,0.02,1.70
Celiachia,2020,Umbria,3461,1544,2.5,0.02,1.49
Celiachia,2020,Valle D'Aosta,479,213,2.6,0.02,0.21
Celiachia,2020,Veneto,20031,8832,2.6,0.03,8.64
Celiachia,2021,Abruzzo,5276,2308,2.4,0.02,2.20
Celiachia,2021,Basilicata,2198,934,2.3,0.01,0.92
Celiachia,2021,Calabria,7694,3407,2.4,0.02,3.21
Celiachia,2021,Campania,22751,10002,2.3,0.02,9.49
Celiachia,2021,Emilia Romagna,17696,7804,2.5,0.03,7.38
Celiachia,2021,Friuli Venezia Giulia,4781,2088,2.4,0.02,1.99
Celiachia,2021,Lazio,23521,10332,2.4,0.03,9.81
Celiachia,2021,Liguria,6210,17366,2.5,0.03,2.59
Celiachia,2021,Lombardia,39568,2638,2.4,0.02,16.51
Celiachia,2021,Marche,5990,2638,2.4,0.02,2.50
Celiachia,2021,Molise,1209,528,2.3,0.01,0.50
Celiachia,2021,Piemonte,17256,7584,2.5,0.03,7.20
Celiachia,2021,Puglia,16047,7034,2.4,0.02,6.70
Celiachia,2021,Sardegna,6705,2967,2.5,0.02,2.80
Celiachia,2021,Sicilia,19400,8518,2.4,0.02,8.09
Celiachia,2021,Toscana,14838,6540,2.4,0.03,6.19
Celiachia,2021,Trentino Alto Adige,4067,1814,2.4,0.02,1.70
Celiachia,2021,Umbria,3572,1594,2.4,0.02,1.49
Celiachia,2021,Valle D'Aosta,495,220,2.5,0.02,0.21
Celiachia,2021,Veneto,20331,8941,2.5,0.03,8.48
Celiachia,2022,Abruzzo,5445,2382,2.4,0.02,2.20
Celiachia,2022,Basilicata,2269,964,2.3,0.01,0.92
Celiachia,2022,Calabria,7940,3516,2.4,0.02,3.21
Celiachia,2022,Campania,23479,10322,2.3,0.03,9.49
Celiachia,2022,Emilia Romagna,18262,8053,2.5,0.02,7.38
Celiachia,2022,Friuli Venezia Giulia,4921,2149,2.4,0.03,1.99
Celiachia,2022,Lazio,24274,10662,2.4,0.03,9.81
Celiachia,2022,Liguria,6409,2836,2.5,0.02,2.59
Celiachia,2022,Lombardia,40834,17922,2.5,0.02,16.51
Celiachia,2022,Marche,6182,2723,2.4,0.01,2.50
Celiachia,2022,Molise,1248,545,2.3,0.03,0.50
Celiachia,2022,Piemonte,17808,7826,2.5,0.02,7.20
Celiachia,2022,Puglia,16560,7259,2.4,0.02,6.70
Celiachia,2022,Sardegna,6919,3062,2.5,0.02,2.80
Celiachia,2022,Sicilia,20021,8790,2.4,0.03,8.09
Celiachia,2022,Toscana,15313,6749,2.4,0.03,6.19
Celiachia,2022,Trentino Alto Adige,204,1872,2.4,0.02,1.70
Celiachia,2022,Umbria,3686,1645,2.4,0.02,1.49
Celiachia,2022,Valle D'Aosta,510,227,2.5,0.02,0.21
Celiachia,2022,Veneto,20982,9227,2.5,0.03,8.64
Celiachia,2023,Abruzzo,5620,2458,2.3,0.02,2.20
Celiachia,2023,Basilicata,2341,995,2.2,0.01,0.92
Celiachia,2023,Calabria,8194,3629,2.3,0.02,3.21
Celiachia,2023,Campania,24230,10652,2.3,0.02,9.49
Celiachia,2023,Emilia Romagna,18847,8311,2.4,0.03,7.38
Celiachia,2023,Friuli Venezia Giulia,5078,2218,2.3,0.02,1.99
Celiachia,2023,Lazio,25051,11003,2.3,0.03,9.81
Celiachia,2023,Liguria,6614,2927,2.4,0.03,2.59
Celiachia,2023,Lombardia,42141,18495,2.4,0.02,16.51
Celiachia,2023,Marche,6380,2810,2.3,0.02,2.50
Celiachia,2023,Molise,1288,562,2.2,0.01,0.50
Celiachia,2023,Piemonte,18378,8077,2.4,0.03,7.20
Celiachia,2023,Puglia,17090,7492,2.3,0.02,6.70
Celiachia,2023,Sardegna,7141,3160,2.4,0.02,2.80
Celiachia,2023,Sicilia,20662,907,2.3,0.02,8.09
Celiachia,2023,Toscana,15803,6965,2.3,0.03,6.19
Celiachia,2023,Trentino Alto Adige,4338,1932,2.3,0.02,1.70
Celiachia,2023,Umbria,3804,1697,2.3,0.02,1.49
Celiachia,2023,Valle D'Aosta,527,234,2.4,0.02,0.21
Celiachia,2023,Veneto,21653,9522,2.4,0.03,8.48
Celiachia,2024,Abruzzo,5800,2537,2.3,0.02,2.20
Celiachia,2024,Basilicata,2416,1027,2.2,0.01,0.92
Celiachia,2024,Calabria,8456,3745,2.3,0.02,3.21
Celiachia,2024,Campania,25005,10993,2.2,0.02,9.49
Celiachia,2024,Emilia Romagna,19450,8577,2.4,0.03,7.38
Celiachia,2024,Friuli Venezia Giulia,5241,2289,2.3,0.02,1.99
Celiachia,2024,Lazio,25853,11356,2.3,0.03,9.81
Celiachia,2024,Liguria,6825,3020,2.4,0.03,2.59
Celiachia,2024,Lombardia,43489,19087,2.4,0.02,16.51
Celiachia,2024,Marche,6584,2900,2.3,0.02,2.50
Celiachia,2024,Molise,1329,580,2.2,0.01,0.50
Celiachia,2024,Piemonte,18966,8335,2.4,0.03,7.20
Celiachia,2024,Puglia,17637,7731,2.3,0.02,6.70
Celiachia,2024,Sardegna,7369,3261,2.4,0.03,2.80
Celiachia,2024,Sicilia,21323,9362,2.3,0.02,8.09
Celiachia,2024,Toscana,16308,7188,2.3,0.02,6.19
Celiachia,2024,Trentino Alto Adige,4477,1994,2.3,0.02,1.70
Celiachia,2024,Umbria,3926,1752,2.3,0.02,1.49
Celiachia,2024,Valle D'Aosta,544,242,2.4,0.02,0.21
Celiachia,2024,Veneto,22344,9827,2.4,0.03,8.64
Celiachia,2025,Abruzzo,5986,2618,2.2,0.02,2.20
Celiachia,2025,Basilicata,2493,1060,2.1,0.01,0.92
Celiachia,2025,Calabria,8727,2864,2.2,"0,02",3.21
Celiachia,2025,Campania,25805,11345,2.1,0.02,9.49
Celiachia,2025,Emilia Romagna,20072,8852,2.3,0.03,7.38
Celiachia,2025,Friuli Venezia Giulia,5409,2362,2.2,0.02,1.99
Celiachia,2025,Lazio,26680,11719,2.2,0.03,9.81
Celiachia,2025,Liguria,7044,3117,2.3,0.03,2.59
Celiachia,2025,Lombardia,44881,19698,2.3,0.02,16.51
Celiachia,2025,Marche,6795,2993,2.2,0.02,2.50
Celiachia,2025,Molise,1371,599,2.1,0.01,0.50
Celiachia,2025,Piemonte,19573,8602,2.3,0.03,7.20
Celiachia,2025,Puglia,18201,7979,2.2,0.02,6.70
Celiachia,2025,Sardegna,7605,3366,2.3,0.02,2.80
Celiachia,2025,Sicilia,22005,9662,2.2,0.02,8.09
Celiachia,2025,Toscana,16830,7418,2.2,0.03,6.19
Celiachia,2025,Trentino Alto Adige,4620,2058,2.2,0.02,1.70
Celiachia,2025,Umbria,4051,1808,2.2,0.02,1.49
Celiachia,2025,Valle D'Aosta,561,249,2.3,0.02,0.21
Celiachia,2025,Veneto,23061,10141,2.3,0.03,8.48
Diabete Tipo 1,2018,Abruzzo,4800,4750,7.2,0.08,2.32
Diabete Tipo 1,2018,Basilicata,1100,1090,7.1,0.07,0.44
Diabete Tipo 1,2018,Calabria,7200,7120,7.2,0.09,3.28
Diabete Tipo 1,2018,Campania,20500,20300,7.1,0.08,8.20
Diabete Tipo 1,2018,Emilia Romagna,18200,18000,7.4,0.10,7.28
Diabete Tipo 1,2018,Friuli Venezia Giulia,4900,4850,7.3,0.10,2.36
Diabete Tipo 1,2018,Lazio,23100,22850,7.3,0.09,9.24
Diabete Tipo 1,2018,Liguria,6500,6430,7.4,0.11,3.00
Diabete Tipo 1,2018,Lombardia,38400,38000,7.4,0.10,15.36
Diabete Tipo 1,2018,Marche,5800,5740,7.3,0.09,2.32
Diabete Tipo 1,2018,Molise,650,640,7.2,0.08,0.26
Diabete Tipo 1,2018,Piemonte,17600,17400,7.4,0.10,7.04
Diabete Tipo 1,2018,Puglia,14800,14650,7.2,0.09,6.32
Diabete Tipo 1,2018,Sardegna,25000,24800,7.5,0.12,10.00
Diabete Tipo 1,2018,Sicilia,19800,19600,7.2,0.09,8.32
Diabete Tipo 1,2018,Toscana,15200,15050,7.3,0.10,6.08
Diabete Tipo 1,2018,Trentino Alto Adige,4100,4050,7.3,0.10,2.04
Diabete Tipo 1,2018,Umbria,3500,3460,7.3,0.09,1.40
Diabete Tipo 1,2018,Valle D'Aosta,550,540,7.4,0.11,0.22
Diabete Tipo 1,2018,Veneto,18300,18100,7.4,0.10,7.32
Diabete Tipo 1,2019,Abruzzo,4896,4845,7.2,0.08,2.32
Diabete Tipo 1,2019,Basilicata,1122,1112,7.1,0.07,0.44
Diabete Tipo 1,2019,Calabria,7344,7262,7.2,0.09,3.28
Diabete Tipo 1,2019,Campania,20910,20706,7.1,0.08,8.20
Diabete Tipo 1,2019,Emilia Romagna,18564,18360,7.4,0.10,7.28
Diabete Tipo 1,2019,Friuli Venezia Giulia,4998,4947,7.3,0.10,2.36
Diabete Tipo 1,2019,Lazio,23562,23307,7.3,0.09,9.24
Diabete Tipo 1,2019,Liguria,6630,6559,7.4,0.11,3.00
Diabete Tipo 1,2019,Lombardia,39168,38760,7.4,0.10,15.36
Diabete Tipo 1,2019,Marche,5916,5855,7.3,0.09,2.32
Diabete Tipo 1,2019,Molise,663,653,7.2,0.08,0.26
Diabete Tipo 1,2019,Piemonte,17952,17748,7.4,0.10,7.04
Diabete Tipo 1,2019,Puglia,15096,14943,7.2,0.09,6.32
Diabete Tipo 1,2019,Sardegna,25500,25296,7.5,0.12,10.00
Diabete Tipo 1,2019,Sicilia,20196,19992,7.2,0.09,8.32
Diabete Tipo 1,2019,Toscana,15504,15351,7.3,0.10,6.08
Diabete Tipo 1,2019,Trentino Alto Adige,4182,4131,7.3,0.10,2.04
Diabete Tipo 1,2019,Umbria,3570,3529,7.3,0.09,1.40
Diabete Tipo 1,2019,Valle D'Aosta,561,551,7.4,0.11,0.22
Diabete Tipo 1,2019,Veneto,18666,18462,7.4,0.10,7.32
Diabete Tipo 1,2020,Abruzzo,4994,4942,7.2,0.09,2.32
Diabete Tipo 1,2020,Basilicata,1144,1134,7.1,0.08,0.44
Diabete Tipo 1,2020,Calabria,7491,7408,7.2,0.10,3.28
Diabete Tipo 1,2020,Campania,21328,21120,7.1,0.09,8.20
Diabete Tipo 1,2020,Emilia Romagna,18935,18727,7.4,0.11,7.28
Diabete Tipo 1,2020,Friuli Venezia Giulia,5098,5046,7.3,0.11,2.36
Diabete Tipo 1,2020,Lazio,24033,23773,7.3,0.10,9.24
Diabete Tipo 1,2020,Liguria,6763,6690,7.4,0.12,3.00
Diabete Tipo 1,2020,Lombardia,39951,39535,7.4,0.11,15.36
Diabete Tipo 1,2020,Marche,6034,5972,7.3,0.10,2.32
Diabete Tipo 1,2020,Molise,676,666,7.2,0.09,0.26
Diabete Tipo 1,2020,Piemonte,18311,18103,7.4,0.11,7.04
Diabete Tipo 1,2020,Puglia,15398,15242,7.2,0.10,6.32
Diabete Tipo 1,2020,Sardegna,26010,25802,7.5,0.13,10.00
Diabete Tipo 1,2020,Sicilia,20600,20392,7.2,0.10,8.32
Diabete Tipo 1,2020,Toscana,15814,15658,7.3,0.11,6.08
Diabete Tipo 1,2020,Trentino Alto Adige,4266,4214,7.3,0.11,2.04
Diabete Tipo 1,2020,Umbria,3641,3600,7.3,0.10,1.40
Diabete Tipo 1,2020,Valle D'Aosta,572,562,7.4,0.12,0.22
Diabete Tipo 1,2020,Veneto,19039,18831,7.4,0.11,7.32
Diabete Tipo 1,2021,Abruzzo,5094,5043,7.3,0.08,2.32
Diabete Tipo 1,2021,Basilicata,1167,1157,7.2,0.07,0.44
Diabete Tipo 1,2021,Calabria,7641,7565,7.3,0.09,3.28
Diabete Tipo 1,2021,Campania,21755,21543,7.2,0.08,8.20
